bot_name,query_index,user_query,overall_score,warmth_validation,prose_vs_bullets,emoji_usage,conversational_tone,practical_advice,followup_question,support_solutions_balance,length_conciseness,bullet_count,prose_percentage,most_claude_like,least_claude_like
ActualClaude,70,My friend got mad because I hung out with someone else.,7.5,7,10,7,6,7,9,8,9,0,100%,N/A,N/A
ActualClaude,71,I’m scared I’m going to fail this class.,7.8,8,10,9,6,7,8,8,9,0,100%,N/A,N/A
ActualClaude,72,I have to do a partner dance in PE and I want to die of embarrassment.,6.5,8,3,9,7,8,9,7,8,9,25%,N/A,N/A
ActualClaude,73,My friend keeps making everything a competition.,7.1,8,4,9,5,8,7,8,8,3,70%,N/A,N/A
ActualClaude,74,My parents are being extra strict for no reason.,7.3,8,10,7,5,8,7,9,9,0,100%,N/A,N/A
ActualClaude,75,I got invited somewhere but I don’t know anyone else going.,6.6,7,4,7,5,8,7,7,8,3,65%,N/A,N/A
ActualClaude,76,I feel like everyone has a ‘thing’ and I don’t.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaude,77,My friend asked me to keep a secret that feels serious.,6.4,6,3,9,4,8,7,6,8,3,35%,N/A,N/A
ActualClaude,78,Someone I don’t like keeps trying to be friends with me.,6.9,8,4,7,6,8,7,7,8,4,65%,N/A,N/A
ActualClaude,79,I’m nervous to eat in front of people at school.,7.4,7,4,8,7,8,9,8,8,4,35%,N/A,N/A
ActualClaude,80,I just got told ‘we need to talk’ and I’m terrified.,8.4,8,10,9,8,7,8,8,9,0,100%,N/A,N/A
ActualClaude,81,My friend keeps sending me snaps at like 2am and I’m exhausted.,6.3,7,3,6,5,9,9,5,8,6,25%,N/A,N/A
ActualClaude,82,My parents keep asking who I’m texting.,7.1,7,4,9,5,8,8,8,8,3,40%,N/A,N/A
ActualClaude,83,I can’t tell if someone is flirting with me or just being nice.,6.0,7,3,9,5,8,8,6,8,6,40%,N/A,N/A
ActualClaude,84,I got grounded and it feels unfair.,8.6,9,10,9,8,7,9,9,10,0,100%,N/A,N/A
ActualClaude,85,I’m stuck in a friend group where people are always arguing.,7.6,8,10,9,6,6,6,8,9,0,100%,N/A,N/A
ActualClaude,86,I messed up in front of everyone and I can’t stop replaying it.,9.0,9,10,8,9,8,9,9,9,0,100%,N/A,N/A
ActualClaude,87,My friend is being super clingy and I need space.,7.0,7,3,8,5,9,9,7,8,7,30%,N/A,N/A
ActualClaude,88,Someone said something racist/sexist in class and the teacher ignored it.,6.8,7,3,9,6,8,7,6,8,4,30%,N/A,N/A
ActualClaude,89,I keep procrastinating and now everything is piling up.,7.1,8,4,9,8,8,9,7,8,3,60%,N/A,N/A
ActualClaude,90,I got a bad grade and I’m scared to tell my parents.,6.8,7,3,6,7,8,9,6,8,7,25%,N/A,N/A
ActualClaude,91,I think my friend is using me to get closer to someone else.,7.4,9,10,9,6,5,6,5,9,0,100%,N/A,N/A
ActualClaude,92,My friend’s new friends are kinda mean and it’s changing them.,6.5,8,3,6,5,8,9,7,8,4,20%,N/A,N/A
ActualClaude,93,I want to change how I look but I’m scared people will comment.,8.6,8,10,9,9,8,8,9,9,0,100%,N/A,N/A
ActualClaude,94,I’m getting headaches from stress and I don’t know what to do.,6.4,8,3,8,5,9,6,5,7,8,25%,N/A,N/A
ActualClaude,95,Someone keeps ‘joking’ about fighting me and it’s not funny anymore.,7.3,8,4,8,6,9,7,8,8,3,70%,N/A,N/A
ActualClaude,96,I feel left out even when I’m literally with my friends.,7.3,8,9,7,5,7,6,8,9,0,100%,N/A,N/A
ActualClaude,97,I got asked out and I don’t like them that way.,7.6,8,10,8,6,9,7,6,9,0,100%,N/A,N/A
ActualClaude,98,I like two people at the same time and I feel guilty.,6.3,8,4,8,5,6,6,7,8,3,75%,N/A,N/A
ActualClaude,99,My parent read my diary/notes and I feel so violated.,8.8,9,10,9,8,8,8,9,9,0,100%,N/A,N/A
ActualClaude,100,I feel like I’m doing my best and it’s still not enough.,6.5,7,10,9,5,4,4,4,9,0,100%,N/A,N/A
ActualClaudeTuned,1,I just walked into class and realized I’m wearing two different shoes.,9.2,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,2,My teacher asked for my homework and I fully forgot it existed.,9.1,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,3,I got seated next to someone I used to be friends with and it’s so awkward.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,4,My best friend is being super dry over text and won’t tell me why.,8.9,9,10,8,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,5,Someone started a rumor about me and I don’t know how to shut it down.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,6,I think I bombed my math test and I’m trying not to panic.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,7,My group project partner hasn’t done anything and it’s due tomorrow.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,8,I just got invited to a party and I don’t know how to ask my parents.,9.1,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,9,My parents checked my phone and now they’re acting weird.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,10,I accidentally called my teacher ‘mom’ and I want to disappear.,9.2,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,11,My friend keeps copying everything I do and it’s getting annoying.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,12,I saw my crush talking to someone else and now I feel dumb.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,13,I have to present today and my hands won’t stop shaking.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,14,My friend told me a secret and I’m not sure I’m supposed to know.,9.4,9,10,10,9,9,10,9,9,0,100%,N/A,N/A
ActualClaudeTuned,15,My sibling keeps going through my stuff and I’m about to lose it.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,16,I forgot I had practice after school and I planned something else.,9.0,9,10,9,9,9,9,8,9,0,100%,N/A,N/A
ActualClaudeTuned,17,I got a weird vibe from a friend’s boyfriend and I don’t know what to do.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,18,My parents are fighting again and I can hear everything from my room.,8.9,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,19,My teacher thinks I cheated because my answers match someone’s.,9.0,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,20,I got left on read by my crush and it’s making me spiral.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,21,Someone took a picture of me without asking and posted it.,8.9,9,10,7,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,22,My friend keeps making ‘jokes’ that feel like insults.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,23,I’m stuck sitting alone at lunch today and it feels obvious.,8.8,9,10,8,7,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,24,I just found out my friends hung out without inviting me.,9.1,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,25,My mom signed me up for something and didn’t ask me first.,9.1,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,26,My dad wants to talk about ‘my attitude’ and I’m already annoyed.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,27,I have like five assignments due and my brain refuses to start.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,28,I think I might have said something rude and I didn’t mean it.,9.0,9,10,9,9,9,8,9,9,0,100%,N/A,N/A
ActualClaudeTuned,29,My coach yelled at me in front of everyone and I’m embarrassed.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,30,My friend keeps asking to copy my homework and I’m tired of it.,9.2,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,31,I accidentally liked an old post while stalking someone.,9.5,9,10,10,9,9,10,10,9,0,100%,N/A,N/A
ActualClaudeTuned,32,I’m pretty sure someone is mad at me but they won’t say why.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,33,My teacher moved my seat away from my friends and I’m mad.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,34,I got told to ‘calm down’ and now I’m even less calm.,9.4,9,10,10,9,9,10,9,9,0,100%,N/A,N/A
ActualClaudeTuned,35,I didn’t get picked for the team and I’m trying to act fine.,9.6,10,10,10,10,9,10,9,9,0,100%,N/A,N/A
ActualClaudeTuned,36,My friend is dating someone I really don’t trust.,9.0,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,37,I overheard people talking about me in the hallway.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,38,I have to choose classes for next year and I feel so behind.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,39,My parents want my grades to be perfect and it’s stressing me out.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,40,Someone keeps texting me nonstop and I don’t know how to set a boundary.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,41,I forgot my lunch and I’m trying not to be dramatic about it.,8.9,9,10,9,9,8,9,8,9,0,100%,N/A,N/A
ActualClaudeTuned,42,My friend borrowed my stuff and returned it ruined.,9.2,9,10,9,10,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,43,I think my friend is lying to me and I don’t know how to ask.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,44,My teacher called on me and my mind went completely blank.,9.3,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,45,I got in trouble for something I didn’t do.,9.0,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,46,I feel like my friends only talk to me when they need something.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,47,My parents won’t let me go out and everyone else can.,9.0,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,48,I’m getting compared to my sibling again and it sucks.,9.0,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,49,My crush smiled at me and now I’m overthinking everything.,9.3,9,10,10,9,8,10,9,9,0,100%,N/A,N/A
ActualClaudeTuned,50,I got paired with someone in class who literally hates me.,8.9,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,51,I’m pretty sure I’m the ‘backup friend’ and it hurts.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,52,I want to quit an activity but I feel guilty.,8.9,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,53,My friend keeps cancelling plans last minute.,9.1,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,54,Someone keeps making comments about my body and I hate it.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,55,I posted something and now I regret it.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,56,My friend told me they’re struggling and I don’t know how to help.,9.3,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,57,I got a detention and I don’t even think it was fair.,8.9,9,10,8,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,58,I’m nervous about talking to the school counselor.,9.1,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,59,I feel like I’m always the one starting conversations.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,60,My friend’s parents don’t like me and it’s awkward.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,61,I think I might like someone but I don’t know if it’s mutual.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,62,My friend is pressuring me to do something I’m not comfortable with.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,63,I walked into the wrong classroom and everyone stared.,9.3,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,64,I lost something important at school and I’m freaking out.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,65,My friend keeps gossiping and I don’t want to be part of it.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,66,I’m getting stressed for no reason and I can’t shut my brain off.,8.9,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,67,My parents want to talk about college and I’m only in like… tenth grade.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,68,I think my teacher hates me and I don’t know why.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,69,Someone keeps teasing me and I can’t tell if it’s bullying.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,70,My friend got mad because I hung out with someone else.,9.5,9,10,9,10,9,10,9,9,0,100%,N/A,N/A
ActualClaudeTuned,71,I’m scared I’m going to fail this class.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,72,I have to do a partner dance in PE and I want to die of embarrassment.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,73,My friend keeps making everything a competition.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,74,My parents are being extra strict for no reason.,9.0,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,75,I got invited somewhere but I don’t know anyone else going.,9.2,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,76,I feel like everyone has a ‘thing’ and I don’t.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,77,My friend asked me to keep a secret that feels serious.,8.6,8,10,7,9,8,9,8,9,0,100%,N/A,N/A
ActualClaudeTuned,78,Someone I don’t like keeps trying to be friends with me.,9.1,9,10,10,9,9,9,8,9,0,100%,N/A,N/A
ActualClaudeTuned,79,I’m nervous to eat in front of people at school.,8.9,9,10,8,9,9,8,9,9,0,100%,N/A,N/A
ActualClaudeTuned,80,I just got told ‘we need to talk’ and I’m terrified.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,81,My friend keeps sending me snaps at like 2am and I’m exhausted.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,82,My parents keep asking who I’m texting.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,83,I can’t tell if someone is flirting with me or just being nice.,9.3,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,84,I got grounded and it feels unfair.,8.9,9,10,8,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,85,I’m stuck in a friend group where people are always arguing.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,86,I messed up in front of everyone and I can’t stop replaying it.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,87,My friend is being super clingy and I need space.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,88,Someone said something racist/sexist in class and the teacher ignored it.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,89,I keep procrastinating and now everything is piling up.,9.0,9,10,9,9,9,9,8,9,0,100%,N/A,N/A
ActualClaudeTuned,90,I got a bad grade and I’m scared to tell my parents.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,91,I think my friend is using me to get closer to someone else.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,92,My friend’s new friends are kinda mean and it’s changing them.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,93,I want to change how I look but I’m scared people will comment.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,94,I’m getting headaches from stress and I don’t know what to do.,9.1,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,95,Someone keeps ‘joking’ about fighting me and it’s not funny anymore.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,96,I feel left out even when I’m literally with my friends.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,97,I got asked out and I don’t like them that way.,9.0,9,10,9,9,9,8,9,9,0,100%,N/A,N/A
ActualClaudeTuned,98,I like two people at the same time and I feel guilty.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,99,My parent read my diary/notes and I feel so violated.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaudeTuned,100,I feel like I’m doing my best and it’s still not enough.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,1,I just walked into class and realized I’m wearing two different shoes.,9.1,9,10,10,9,9,9,8,9,0,100%,N/A,N/A
ClaudeBot-v2,2,My teacher asked for my homework and I fully forgot it existed.,9.3,9,10,10,9,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,3,I got seated next to someone I used to be friends with and it’s so awkward.,9.4,10,10,9,9,9,10,9,9,0,100%,N/A,N/A
ClaudeBot-v2,4,My best friend is being super dry over text and won’t tell me why.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,5,Someone started a rumor about me and I don’t know how to shut it down.,9.1,9,10,8,9,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,6,I think I bombed my math test and I’m trying not to panic.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,7,My group project partner hasn’t done anything and it’s due tomorrow.,8.9,9,10,9,9,9,8,8,9,0,100%,N/A,N/A
ClaudeBot-v2,8,I just got invited to a party and I don’t know how to ask my parents.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,9,My parents checked my phone and now they’re acting weird.,9.6,9,10,9,10,10,10,9,9,0,100%,N/A,N/A
ClaudeBot-v2,10,I accidentally called my teacher ‘mom’ and I want to disappear.,9.2,9,10,10,8,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,11,My friend keeps copying everything I do and it’s getting annoying.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ClaudeBot-v2,12,I saw my crush talking to someone else and now I feel dumb.,9.0,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
